"epoch","mse","A1_norm","A1_rank","A1_cond","A1_det","A2_norm","A2_rank","A2_cond","A2_det","W1_norm","W1_rank","W1_cond","W1_mean_chnage","W1_min_chnage","W1_max_chnage","W2_norm","W2_rank","W2_cond","W2_mean_chnage","W2_min_chnage","W2_max_chnage","strong_sat","soft_sat","linear_region"
26,1.43229959672799e-05,3.3798226605795,2,2.85302389826617,3.21015389681952,3.58603818483677,7,736698413330535040,-5.8171937213108e-135,2.26973081114829,2,3.47691409594145,0.00214543326775912,0.000474762090566407,0.0121584691337675,4.15758270925135,1,1,0.00948833326556991,0.00184186144191167,0.0222676641775816,0,0.016,0.281785714285714
27,1.25060495595886e-05,3.21860226959736,2,2.57333137882243,3.05888247274549,3.6612041992986,7,186522660352161280,2.62388257543065e-136,2.26734383499564,2,3.50642128411045,0.0016404389086133,0.000647630615684762,0.00540740270473684,4.19090427382946,1,1,0.00672313655063235,0.00227807857384793,0.0117726553772565,0,0.0155833333333333,0.282630952380952
28,1.72378007055627e-05,3.08331299635522,2,2.48292637773513,2.9138130325086,3.62210550480816,7,510601226300958656,3.45337132607327e-137,2.26457155152307,2,3.58775716669082,0.00193345094289376,0.000306835989818638,0.00421361517126499,4.24104573648652,1,1,0.00933268277579249,0.00262786190583116,0.0234943088135376,0,0.0151785714285714,0.284345238095238
29,1.64245334674974e-05,2.99262358111968,2,2.35058954925818,2.82056040562477,3.65062299934561,6,215691039795146208,3.29815527891244e-137,2.25955679887716,2,3.63720885350567,0.0017766222957279,0.000573020094373683,0.00840001842494183,4.28734861836771,1,1,0.00936464629367142,0.00203308079125059,0.0211702225483429,0,0.0148690476190476,0.285297619047619
30,1.52446487399755e-05,3.14098988666164,2,2.50971767436489,2.97674029938699,3.6399526691401,6,101089961815249616,2.38214083370504e-138,2.25194188870572,2,3.71711253491704,0.00168457377260926,7.158160586948e-05,0.00569897704998106,4.35582357870588,1,1,0.0102770905798267,0.0026524396910954,0.0233792101589891,0,0.0143214285714286,0.286547619047619
31,1.30167572398072e-05,3.28559898484954,2,2.64806267802751,3.12864527519166,3.63733170820742,6,377469364601068480,1.92110031537869e-138,2.24512900636785,2,3.73839847309793,0.00160874358699067,0.000569948440968836,0.0061558453322778,4.4127494753902,1,1,0.0089383785589827,0.0048960016622203,0.0217863392458795,0,0.0140238095238095,0.28702380952381
32,1.22128663804632e-05,3.03234947951698,2,2.55486174417146,2.83855245451556,3.76618782397866,6,1458889822409885952,-5.67534831379903e-139,2.24272524382429,2,3.81896405798115,0.00155293507036746,0.000462343404072928,0.00716380281743447,4.4568862590559,1,1,0.0097752522571289,0.00177306071760366,0.0249300366068093,0,0.0135595238095238,0.287642857142857
33,9.99683719059754e-06,3.39760467212508,2,2.81037566653607,3.23979815826322,3.73840914957859,6,43552318007183536,4.06740009248122e-139,2.2375694769158,2,3.85287660656819,0.00179955369632409,0.000320705400913064,0.00909387439620955,4.51885929423031,1,1,0.0108756208097648,0.00205407894588524,0.0244330021541391,0,0.013202380952381,0.287904761904762
34,1.30169547533501e-05,2.99223636053215,2,2.42190744407292,2.81472003176944,3.69150817466216,6,146188274663823680,4.93342734918427e-141,2.23940016106131,2,3.92778566959309,0.00172823138743082,0.000254402162450942,0.00588452164264534,4.56085808446722,1,1,0.00876277101463902,0.00142438732298595,0.0430661373759604,0,0.013,0.28827380952381
35,1.30790979393913e-05,2.98428096976268,2,2.37520844021344,2.81033340622778,3.68019314098959,6,33736759981625565184,-9.47128494936079e-143,2.23697712288645,2,4.00273505485393,0.00168708233402016,0.000243680860167357,0.00846746432436129,4.62200576904514,1,1,0.00827764985391684,0.00249331163560633,0.0211537769056302,0,0.0125714285714286,0.288916666666667
36,1.12997549371716e-05,3.20653350519973,2,2.69807225788604,3.02680893707338,3.75777798414561,6,717982689854476160,5.04178876069793e-142,2.22722673264288,2,4.03452250893991,0.00167542132187012,0.000592656249924975,0.00810908411310242,4.68180564176882,1,1,0.00813575510454048,0.00176721178342016,0.0192890407548734,0,0.0119642857142857,0.289714285714286
37,9.61119835074528e-06,3.35511946362014,2,2.80251158819712,3.18992325963531,3.55719564325595,6,1109637307095792256,-8.29943590718313e-144,2.21952114356209,2,4.08338390329891,0.0013349123216388,0.000330544002752178,0.00289078546485997,4.76929770472268,1,1,0.0101201799048349,0.00196570120422152,0.0262409228060561,0,0.0113690476190476,0.290559523809524
38,9.31515673672785e-06,3.2123337178387,2,2.60197454315634,3.04989821250595,3.66734938446719,6,445195579143951296,-8.30364764722636e-145,2.21098439303359,2,4.13190603235309,0.0013849995893899,0.000315573069765661,0.00271871032913977,4.82388429030953,1,1,0.00850385454786736,0.00285643419967858,0.0187965874934515,0,0.0108214285714286,0.291404761904762
39,1.64939858719508e-05,2.87911067758751,2,2.30056445617278,2.69652233165775,3.64999016368636,6,1471905927209182208,2.25245846474161e-146,2.19960993727964,2,4.21037559928284,0.00176237786188748,5.80629700750769e-05,0.00679612957534123,4.92064441125755,1,1,0.0121983939633657,0.00235446744670154,0.0552268469100569,0,0.0101071428571429,0.292785714285714
40,9.57597049491505e-06,3.33377437629588,2,2.73489861015083,3.17516451865412,3.67553919496567,6,261293617565819552,8.71086297138414e-147,2.19914829553717,2,4.27202040549699,0.00141738701154439,0.000347313770386894,0.00562424165186585,4.99274497472382,1,1,0.0100480517006347,0.00223932384322079,0.0320507954622473,0,0.00989285714285714,0.29327380952381
41,1.03556767401896e-05,3.23076993852357,2,2.69642468237614,3.05751565014035,3.52101043567925,6,227416733262924960,7.90373309070761e-147,2.18780744596971,2,4.26960127323984,0.0015694297124672,0.000348355097398843,0.00317755471414357,5.06367130119504,1,1,0.00930393254716385,0.000843756368788617,0.0309483899667013,0,0.0093452380952381,0.293904761904762
42,8.70639501891519e-06,3.3068654110864,2,2.96158811809599,3.0809273418456,3.79462518287291,6,175957435353135104,-1.50644060127592e-146,2.18098705114009,2,4.30974815023441,0.00137256734210941,0.000257814540546271,0.00257519038090315,5.13830886823959,1,1,0.0100152338400715,0.00253513106350715,0.0181443991439682,0,0.00897619047619048,0.294761904761905
43,1.36745896492673e-05,3.20455433413703,2,2.5966576219618,3.04152436356194,3.62403251273254,6,1256840066734303744,-1.8882321973824e-149,2.17131011893045,2,4.37975382582898,0.00127422145065977,0.00027021178025966,0.00357691556951518,5.20894927334564,1,1,0.00939562445547895,0.00297696063866766,0.02348802152514,0,0.0081547619047619,0.295904761904762
44,1.08635065860663e-05,3.07275227561386,2,2.48612752726983,2.90124720936452,3.64357255994279,6,70312508161919377408,-1.89121535212982e-149,2.17188306761715,2,4.49657874440916,0.001184726306401,8.08135453273483e-05,0.00677650448519766,5.34202210958427,1,1,0.0112360191577379,0.00257868265986903,0.0254211860273848,0,0.00763095238095238,0.296964285714286
45,1.50078920949487e-05,3.32082299233667,2,2.73784863659699,3.15951715193984,3.65302527246857,6,2679479637608814080,-8.90925526102548e-150,2.16921519395048,2,4.55317139816742,0.0012804828697465,0.000251762914371937,0.00429012156724199,5.42745192959761,1,1,0.0088405281669458,0.00191093407631735,0.0171528302851623,0,0.00707142857142857,0.298345238095238
46,1.14454076685116e-05,2.9813683926972,2,2.44200050346769,2.79854874596841,3.5352984534249,6,1522751868875841792,-6.09340783995619e-151,2.1665741948784,2,4.61138548095255,0.00128126809750168,0.000273392978308259,0.0053578565748587,5.54081533505183,1,1,0.0103779352548422,0.00284472653811882,0.0275848685961486,0,0.00663095238095238,0.29947619047619
47,1.03330951797093e-05,3.2351110320306,2,2.82944216522166,3.02778691745972,3.45274369392697,6,1962822197457054464,-4.63849678020366e-151,2.1559053252713,2,4.61500238199202,0.00144147776534455,0.000177593361907538,0.00478017587923459,5.62115074589935,1,1,0.00744514542852881,0.00227518264171863,0.0175331393829611,0,0.00578571428571429,0.300892857142857
48,9.44736105635592e-06,3.11807224165403,2,2.49103202410903,2.95241658815739,3.57095778943112,6,139869942518360112,3.02203120379385e-152,2.15507354095779,2,4.68804841023927,0.00115428276413071,0.000285311944353947,0.00288442513923814,5.73391119977029,1,1,0.00940506073126494,0.00314919928888177,0.0186140298641393,0,0.00541666666666667,0.302488095238095
49,8.32077176405463e-06,3.17410228905171,2,2.61999217026909,3.00234284194616,3.65803099500693,6,1.29641584814507e+21,-1.16578104423765e-152,2.15676613570426,2,4.76380280964378,0.00142439849622447,0.000401146956231184,0.00639849380417141,5.84111011826671,1,1,0.0105310228339843,0.00300608032936565,0.0348988468855113,0,0.00504761904761905,0.303440476190476
50,1.9401315926498e-05,3.157041424619,2,2.6666903206825,2.97122399697107,3.69424322794444,6,654062169532391040,-5.19312909990472e-153,2.1552096701342,2,4.89161247732626,0.00135137314910465,0.000360499426380896,0.00543029376284017,5.98696135823157,1,1,0.0114744865375479,0.00328125440516238,0.0279885470482809,0,0.00420238095238095,0.30652380952381
51,1.09877361861782e-05,3.26166115529335,2,2.76378378933583,3.08137191747502,3.68541302880328,6,484611105784321984,-5.41830403388935e-154,2.14941524735183,2,4.97546543113506,0.00112834439485634,6.22072995475661e-05,0.00247029590793006,6.20323776268749,1,1,0.0152333264387114,0.00990847810310191,0.0243066183830145,0,0.00327380952380952,0.309107142857143
52,1.55588565969619e-05,3.246078345706,2,2.65854852007996,3.08243891943962,3.55968357404274,6,809917017537834880,-8.56817920658539e-156,2.14693200686238,2,5.07519591245015,0.00106356523673877,0.000167789130496701,0.00465095810822602,6.37549396442149,1,1,0.0121605361036819,0.00553581419265699,0.0208179774976315,0,0.0026547619047619,0.31152380952381
53,8.33127150737025e-06,3.01106723869815,2,2.36317797594829,2.84015821569114,3.6083989485306,6,883864132817055744,-9.53610640748389e-156,2.14777069810754,2,5.11364565752481,0.00111018721091218,0.000318464539796603,0.00416074507994623,6.53430235876653,1,1,0.011447937656354,0.00246747882362416,0.0241094345997583,0,0.00252380952380952,0.312142857142857
54,1.91029968236147e-05,2.99634348137493,2,2.42319592459166,2.81940356877511,3.58011386674017,6,381547679684604160,-7.05362103311166e-156,2.14546516878242,2,5.27915954364149,0.00130131069982948,0.000152405353442515,0.00462111952036084,6.71960440497998,1,1,0.0124224326736137,0.00407897492383042,0.0363073885426196,0,0.00142857142857143,0.314678571428571
55,2.378487580087e-05,3.30401214652496,2,2.71870782287465,3.14239468062351,3.57488397953609,6,5403920770562390016,-4.93675807257637e-158,2.14295504797976,2,5.42027343369568,0.00110960906371606,0.000246127778826645,0.00345210869377746,7.00679917456391,1,1,0.0168913637694317,0.0125781733292433,0.0208814180434076,0,0.000392857142857143,0.316952380952381
56,1.72400323163976e-05,3.09641153789758,2,2.48761477417685,2.92833769311176,3.59028735426209,5,833720915342914560,-5.48012446548819e-157,2.1370081454528,2,5.47639003701666,0.00108981400224979,0.000193683395821604,0.00585455037839673,7.28427563424907,1,1,0.0158657423608878,0.00962798810958889,0.0225274278145002,0,0,0.318238095238095
57,2.62050307766533e-05,3.18956950813326,2,2.86913525568401,2.95128695973592,3.47714472860635,5,4586031273111619072,4.10441302500289e-160,2.13166445998919,2,5.57859561821518,0.00112603769783556,7.92011086647644e-05,0.00517928800499643,7.50650337465321,1,1,0.012947892091904,0.00637334722912897,0.024570360964818,0,0,0.320178571428571
58,1.64690090481729e-05,3.01407333130469,2,2.36437501813145,2.84334938076284,3.61225195256146,5,286387183280634240,-3.74350099906062e-158,2.13067943635563,2,5.65419466109229,0.000896679342505689,0.000429969705132797,0.00179949353000513,7.8153888403546,1,1,0.0168324566732186,0.0123908406507884,0.02279808097285,0,0,0.321392857142857
59,2.46113872301428e-05,3.13371893251201,2,2.58312504259747,2.9596717171682,3.6610606700123,5,1100692536258843264,-1.03895946993288e-158,2.12620478731513,2,5.73781127793923,0.00082492032529207,0.000228765821944851,0.00288533051145793,8.04291272874469,1,1,0.0132166741945493,0.00817806384355754,0.0195967977636183,0,0,0.323142857142857
60,2.75219174078585e-05,3.02334492305238,2,2.49010595449228,2.84136223781951,3.66312913325391,5,746331584209306752,1.23962156863572e-160,2.12299920527286,2,5.82760792414584,0.000972324107245662,0.000211682904863952,0.00617860023695221,8.31513228385971,1,1,0.0159084889087889,0.0117232638505815,0.0346687205452959,0,0,0.324690476190476
61,2.42281733882804e-05,3.30158499343665,2,2.80673654312703,3.12187735303678,3.67858294500182,5,1.02736019710288e+20,1.42731018752509e-160,2.11835964389823,2,5.89804139516728,0.000821378677869729,0.000141623709845501,0.00265348508608008,8.59424025309638,1,1,0.0155448940333591,0.0105887857177465,0.0435495483196023,0,0,0.325952380952381
62,2.35089277096436e-05,3.33884463428593,2,2.67030489230684,3.18552855219612,3.60010637412491,5,1975126464692699136,2.50280480931052e-161,2.11570403820993,2,5.97178848021804,0.000868732249806131,0.000137770434814646,0.00390370758039163,8.87583762310132,1,1,0.0143515246515183,0.00985622257684773,0.0206393681083172,0,0,0.327166666666667
63,2.36900474659258e-05,3.28875074345135,2,2.64064886037234,3.13250125672313,3.59843688458064,5,407263021667949440,1.18586848889355e-161,2.11676756239677,2,6.05740075670275,0.000773313533327827,6.12617010629305e-05,0.00236272182464499,9.13528267774524,1,1,0.0137544765522895,0.0104577156707846,0.0205537925248607,0,0,0.32777380952381
64,2.65455887202593e-05,3.20487256215492,2,2.64622006809533,3.03514094522058,3.5605425289268,5,132148533206856016,5.47262390429275e-162,2.11165971635074,2,6.12924420654273,0.000973246283553565,3.99810929032263e-05,0.00189633742988192,9.40665919882849,1,1,0.0147357343884696,0.010647649473464,0.0255322707094651,0,0,0.328964285714286
65,2.90974020291228e-05,2.94061253674939,2,2.41078313579475,2.75413364135162,3.65328303683599,5,1553192074629935104,-3.67845752527172e-162,2.10955548858271,2,6.18028921864693,0.000954431083282112,0.000116439765349563,0.00373592217173873,9.66201950751623,1,1,0.0138834709868467,0.00582871900756442,0.0194350000655855,0,0,0.32925
66,3.06226729423933e-05,3.14677730163698,2,2.53377382190394,2.98153164323281,3.58567066125652,5,25496670165270593536,-1.18673433795011e-162,2.10787029977078,2,6.27962063711319,0.000937563297210828,0.000287477579957498,0.00194899796476712,9.93949156639587,1,1,0.0146010480358172,0.00929281625866386,0.0252713145675077,0,0,0.330261904761905
